id,price,flooring,available_units,towers,construction,ownership,emi,bed,bath,parking,area,costpersqft,flat_on_floor,total_floor,lift,balcony,lattitude,longitude,project_in_acres,builder,project_name,furnish,city,location,property_type,status,extra_rooms,facing,seller,price_category,overlooking,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_mean_km,hospital_min_km,hospital_within_2km,tourist_mean_km,tourist_min_km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km
cardid73153767,5.0,vitrified,,,10 to 15 years,freehold,2.26,4.0,4.0,1.0,1350.0,37037.0,,,2.0,3.0,19.056123733520508,73.00445556640625,,,,semi-furnished,navi mumbai,palm beach road,resale,ready to move,,east,person,5.00 - 5.99,"garden/park, main road, pool",,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid73093129,2.7,"vitrified, marble, granite",75.0,1.0,less than 5 years,freehold,1.22,2.0,2.0,1.0,550.0,49091.0,17.0,22.0,2.0,3.0,19.032075,72.867561,1.0,shiv mangal developers,samar heights,furnished,mumbai,antop hill,resale,ready to move,store,east,person,2.00 - 2.99,"garden/park, main road",0.9,0.9,1,,,0,,,0,,,0,,,0,,,0,0.9,0.9,0.9,0.9,1
cardid72208465,0.8,vitrified,60.0,2.0,5 to 10 years,co-operative society,0.36,2.0,2.0,1.0,800.0,10000.0,13.0,13.0,4.0,4.0,19.015345,73.096945,1.0,sierra homes,shreeram arcade,unfurnished,navi mumbai,sector 20 kamothe,resale,ready to move,none of these,north,realestateagent,0.00 - 0.99,main road,1.475,0.1,3,,,0,1.8666666666666665,0.8,2,13.4,13.4,0,,,0,,,0,1.475,5.580555555555556,0.1,4.766666666666667,5
cardid71644217,2.25,ceramic tiles,,,new construction,freehold,1.01,2.0,2.0,,580.0,38793.0,14.0,21.0,,,19.1297376,72.8291555,,jp infra residency private limited,jp eminence,unfurnished,mumbai,andheri west,resale,ready to move,,east,person,2.00 - 2.99,main road,1.7399999999999998,0.8,3,1.9,0.9,1,0.82,0.6,5,1.0,0.9,2,,,0,1.075,0.9,4,0.82,1.307,0.6,0.8200000000000001,15
cardid72033591,0.79,vitrified,,,5 to 10 years,freehold,0.36,2.0,2.0,,514.0,15370.0,2.0,7.0,1.0,,18.9750941,73.052334,,,span exotica,unfurnished,navi mumbai,ulwe,resale,ready to move,none of these,north - east,person,0.00 - 0.99,main road,5.35,3.3,0,4.4,4.4,0,7.366666666666667,4.4,0,11.200000000000001,4.8,0,,,0,,,0,4.4,7.0791666666666675,3.3,4.2250000000000005,0
cardid68585279,4.41,marble,,,less than 5 years,freehold,1.99,3.0,3.0,1.0,1340.0,32910.0,7.0,23.0,2.0,5.0,19.0422020592081,73.0104016189229,,galaxy group,galaxy aura,semi-furnished,navi mumbai,sector 6 nerul,resale,ready to move,servant,east,person,4.00 - 4.99,"garden/park, main road, pool",0.86,0.7,5,0.5,0.5,2,2.825,1.5,2,6.625,4.0,0,,,0,,,0,0.5,2.7025,0.5,1.675,9
cardid70404005,1.3,vitrified,,,10 to 15 years,freehold,0.59,1.0,1.0,6.0,450.0,28889.0,3.0,7.0,1.0,,19.242000579833984,72.85527801513672,,,,furnished,mumbai,madonna colony,resale,ready to move,none of these,north,person,1.00 - 1.99,main road,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid73216415,2.95,vitrified,180.0,6.0,less than 5 years,freehold,1.33,3.0,3.0,,875.0,33714.0,2.0,8.0,2.0,1.0,19.1746739,72.9431038,3.0,sheth creators,vasant oscar,furnished,mumbai,mulund west,resale,ready to move,,east,person,2.00 - 2.99,"garden/park, main road",4.0,1.0,2,5.375025,0.0001,2,2.26002,0.0001,4,5.819999999999999,1.5,2,,,0,,,0,2.26002,4.3637612500000005,0.0001,0.62505,10
cardid72460835,1.2,"vitrified, marble, granite",50.0,2.0,new construction,freehold,0.54,1.0,2.0,1.0,484.0,24793.0,6.0,17.0,2.0,,19.0615645059118,72.880543263673,0.4557,roha realty,roha vatika,unfurnished,mumbai,kurla east,resale,ready to move,"puja, store",north,person,1.00 - 1.99,"garden/park, main road",2.2,2.1,0,0.85,0.5,2,2.9,2.9,0,1.86,1.2,3,,,0,,,0,0.85,1.9525000000000001,0.5,1.675,5
cardid72775771,1.1,vitrified,140.0,1.0,less than 5 years,,0.5,1.0,1.0,,369.0,29810.0,7.0,16.0,2.0,,19.1327200554249,72.8256623968503,,lak and hanware realty llp,the residency,unfurnished,mumbai,amboli,resale,ready to move,,east,person,1.00 - 1.99,main road,1.7399999999999998,0.8,3,1.9,0.9,1,0.82,0.6,5,1.0,0.9,2,,,0,1.075,0.9,4,0.82,1.307,0.6,0.8200000000000001,15
cardid73184535,1.8,vitrified,414.0,2.0,less than 5 years,freehold,0.81,3.0,3.0,1.0,1023.0,17595.0,11.0,33.0,4.0,3.0,19.2575583,72.9829639,7.0,rosa group,rosa manhattan,unfurnished,thane,hiranandani estate,resale,ready to move,store,east,realestateagent,1.00 - 1.99,garden/park,0.9199999999999999,0.2,4,,,0,0.43333333333333335,0.2,3,,,0,,,0,,,0,0.43333333333333335,0.6766666666666666,0.2,0.2,7
