id,builder,project_name,project_in_acres,location,city,lattitude,longitude,property_type,status,construction,ownership,flat_on_floor,total_floor,furnish,area,bed,bath,balcony,lift,parking,overlooking,facing,flooring,extra_rooms,available_units,towers,costpersqft,emi,price_category,price,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_mean_km,hospital_min_km,hospital_within_2km,tourist_mean_km,tourist_min_km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km,seller
cardid73099059,poonam housecon,vaishno heights,,upper govind nagar,mumbai,19.1848724519187,72.8629697025013,new property,under construction,under construction,freehold,-2.0,23.0,unfurnished,1110.0,3.0,3.0,2.0,3.0,1.0,"garden/park, main road",east,vitrified,"puja, study, store",,,18365.0,0.92,2.00 - 2.99,2.03,1.9333333333333331,0.9,2.0,,,,1.1,0.6,5.0,2.64,0.8,2.0,2.7,0.9,3.0,0.9,0.9,2.0,0.9,1.854666666666667,0.6,0.82,14.0,realestateagent
cardid73123903,,,,versova andheri west,mumbai,19.13844,72.812187,resale,ready to move,new construction,co-operative society,21.0,22.0,unfurnished,771.0,2.0,2.0,1.0,,,garden/park,east,vitrified,puja,,,32425.0,1.13,2.00 - 2.99,2.5,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72285649,,,,bandra west,mumbai,19.055229,72.830829,resale,ready to move,5 to 10 years,co-operative society,10.0,12.0,furnished,1100.0,3.0,3.0,,3.0,3.0,,east,marble,none of these,,,77273.0,3.83,8.00 - 8.99,8.5,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid73082665,godrej properties,godrej sky terraces,,chembur,mumbai,19.0459181155422,72.8975231581492,new property,under construction,under construction,freehold,10.0,20.0,semi-furnished,1928.0,4.0,4.0,2.0,3.0,2.0,garden/park,east,"marble, vitrified, wooden",servant,,,46680.0,4.06,9.00 - 9.99,9.0,2.25,1.3,3.0,,,,5.033333333333333,2.7,0.0,7.26,1.5,1.0,,,,1.5,1.5,2.0,1.5,4.010833333333333,1.3,1.75,6.0,realestateagent
cardid71712601,,,,babrekar nagar kandivali west,mumbai,19.20498275756836,72.82437133789062,resale,under construction,under construction,freehold,20.0,48.0,unfurnished,764.0,2.0,2.0,3.0,,,main road,east,vitrified,study,,,25524.0,0.88,1.00 - 1.99,1.95,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid70648111,,,,nala sopara west,palghar,19.4129235749963,72.7885889890948,resale,ready to move,new construction,freehold,10.0,14.0,unfurnished,385.0,1.0,1.0,,2.0,1.0,"garden/park, main road",north - east,"ceramic tiles, marble",none of these,,,7792.0,0.14,0.00 - 0.99,0.3,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid73128455,,,,mahatma gandhi road,navi mumbai,18.98461062,73.11037656,resale,under construction,under construction,freehold,3.0,14.0,semi-furnished,992.0,3.0,3.0,2.0,4.0,,main road,east,vitrified,,,,15121.0,0.68,1.00 - 1.99,1.5,,,,,,,,,,,,,,,,,,,,,,,0.0,person
cardid71625843,,,,malad west,mumbai,19.1940346300819,72.8257561606587,resale,ready to move,5 to 10 years,freehold,,,unfurnished,900.0,3.0,3.0,,2.0,1.0,"garden/park, main road",east,vitrified,none of these,,,29333.0,1.19,2.00 - 2.99,2.64,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72116215,,,,airoli,navi mumbai,19.144838333129883,72.99564361572266,resale,ready to move,15 to 20 years,freehold,,,semi-furnished,560.0,1.0,1.0,,1.0,,main road,north,vitrified,,,,15536.0,0.39,0.00 - 0.99,0.87,,,,,,,,,,,,,,,,,,,,,,,0.0,person
cardid19828163,,,,hiranandani gardens,mumbai,19.11461639404297,72.90828704833984,resale,ready to move,above 20 years,freehold,8.0,18.0,furnished,1380.0,3.0,3.0,,2.0,1.0,"garden/park, main road",north - east,marble,store,,,50725.0,3.16,7.00 - 7.99,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,person
cardid73114181,,,,,palghar,,,resale,ready to move,5 to 10 years,freehold,7.0,7.0,unfurnished,390.0,1.0,2.0,3.0,,,main road,north,,"study, servant",,,7692.0,0.14,0.00 - 0.99,0.3,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid73102629,,,,,mumbai,,,resale,ready to move,5 to 10 years,,3.0,18.0,unfurnished,396.0,1.0,1.0,,,,garden/park,,,,,,14646.0,0.26,0.00 - 0.99,0.58,,,,,,,,,,,,,,,,,,,,,,,0.0,person
cardid72534189,,,,grant road east,mumbai,18.96290779113769,72.81873321533203,resale,ready to move,new construction,freehold,3.0,5.0,furnished,315.0,1.0,1.0,,,,main road,,marble,,,,53968.0,0.77,1.00 - 1.99,1.7,,,,,,,,,,,,,,,,,,,,,,,0.0,person
cardid54544843,,,,virar east,palghar,19.45959854125977,72.81642150878906,resale,ready to move,5 to 10 years,,4.0,4.0,furnished,505.0,1.0,1.0,,,,,,,,,,6931.0,0.16,0.00 - 0.99,0.35,,,,,,,,,,,,,,,,,,,,,,,0.0,person
cardid72330119,,,,,mumbai,,,resale,ready to move,,,3.0,3.0,furnished,502.0,1.0,1.0,,,,,,,,,,20916.0,0.47,1.00 - 1.99,1.05,,,,,,,,,,,,,,,,,,,,,,,0.0,person
cardid54922773,,,,,thane,,,resale,ready to move,5 to 10 years,co-operative society,0.0,4.0,unfurnished,280.0,1.0,1.0,2.0,,,,east,,,,,3036.0,0.04,0.00 - 0.99,0.085,,,,,,,,,,,,,,,,,,,,,,,0.0,person
cardid71816601,omkar realtors,omkar alta monte,3.0,kurar village,mumbai,19.180237,72.8554149,resale,ready to move,new construction,co-operative society,37.0,55.0,semi-furnished,3311.0,4.0,4.0,4.0,10.0,3.0,main road,north,"vitrified, wooden","puja, study, store, servant",1401.0,5.0,25672.0,3.83,8.00 - 8.99,8.5,1.9333333333333331,0.9,2.0,,,,1.1,0.6,5.0,2.64,0.8,2.0,2.7,0.9,3.0,0.9,0.9,2.0,0.9,1.854666666666667,0.6,0.82,14.0,realestateagent
cardid71710057,,,,diva,thane,19.1915751433493,73.0430090272966,new property,ready to move,new construction,co-operative society,5.0,20.0,semi-furnished,,2.0,2.0,2.0,3.0,1.0,garden/park,south -west,vitrified,none of these,,,,0.29,0.00 - 0.99,0.65,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72447921,,,,mumbai central,mumbai,19.090856552124023,72.89878845214844,resale,ready to move,10 to 15 years,freehold,18.0,23.0,semi-furnished,500.0,1.0,1.0,,3.0,,"garden/park, main road",west,"vitrified, marble, granite",,,,20000.0,0.45,1.00 - 1.99,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,person
